Authors,Title,Pasquale,Mary,Overall,Motivation,Year,Link,Abstract,Publication Stage,Open Access,Manually added
Chen M.; Shi W.; Zhou B.; Roth D.,Cross-lingual entity alignment with incidental supervision,1,1,1,#use #embeddings,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106367685&partnerID=40&md5=6ce87ce9d8dab67a1d80ecba9685f668,"Much research effort has been put to multilingual knowledge graph (KG) embedding methods to address the entity alignment task, which seeks to match entities in different language-specific KGs that refer to the same real-world object. Such methods are often hindered by the insufficiency of seed alignment provided between KGs. Therefore, we propose an incidentally supervised model, JEANS, which jointly represents multilingual KGs and text corpora in a shared embedding scheme, and seeks to improve entity alignment with incidental supervision signals from text. JEANS first deploys an entity grounding process to combine each KG with the monolingual text corpus. Then, two learning processes are conducted: (i) an embedding learning process to encode the KG and text of each language in one embedding space, and (ii) a self-learning based alignment learning process to iteratively induce the matching of entities and that of lexemes between embeddings. Experiments on benchmark datasets show that JEANS leads to promising improvement on entity alignment with incidental supervision, and significantly outperforms state-of-the-art methods that solely rely on internal information of KGs. © 2021 Association for Computational Linguistics",Final,,
Zhou P.; Gopalakrishnan K.; Hedayatnia B.; Kim S.; Pujara J.; Ren X.; Liu Y.; Hakkani-Tu D.,Commonsense-Focused Dialogues for Response Generation: An Empirical Study,1,1,1,#use #commonsense,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117308108&partnerID=40&md5=303ec9ab3fd4f438ba19544878e2e34c,"Smooth and effective communication requires the ability to perform latent or explicit commonsense inference. Prior commonsense reasoning benchmarks (such as SocialIQA and CommonsenseQA) mainly focus on the discriminative task of choosing the right answer from a set of candidates, and do not involve interactive language generation as in dialogue. Moreover, existing dialogue datasets do not explicitly focus on exhibiting commonsense as a facet. In this paper, we present an empirical study of commonsense in dialogue response generation. We first auto-extract commonsensical dialogues from existing dialogue datasets by leveraging ConceptNet, a commonsense knowledge graph. Furthermore, building on social contexts/situations in SocialIQA, we collect a new dialogue dataset with 25K dialogues aimed at exhibiting social commonsense in an interactive setting. We evaluate response generation models trained using these datasets and find that models trained on both extracted and our collected data produce responses that consistently exhibit more commonsense than baselines. Finally we propose an approach for automatic evaluation of commonsense that relies on features derived from ConceptNet and pretrained language and dialog models, and show reasonable correlation with human evaluation of responses' commonsense quality. ©2021 Association for Computational Linguistics.",Final,,
Bauer L.; Bansal M.,"Identify, align, and integrate: Matching knowledge graphs to commonsense reasoning tasks",1,1,1,#use #commonsense,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107268857&partnerID=40&md5=1a3d30a6d333c1d466373512665e1c17,"Integrating external knowledge into commonsense reasoning tasks has shown progress in resolving some, but not all, knowledge gaps in these tasks. For knowledge integration to yield peak performance, it is critical to select a knowledge graph (KG) that is well-aligned with the given task's objective. We present an approach to assess how well a candidate KG can correctly identify and accurately fill in gaps of reasoning for a task, which we call KG-to-task match. We show this KG-to-task match in 3 phases: knowledge-task identification, knowledge-task alignment, and knowledge-task integration. We also analyze our transformer-based KG-to-task models via commonsense probes to measure how much knowledge is captured in these models before and after KG integration. Empirically, we investigate KG matches for the SocialIQA (SIQA) (Sap et al., 2019b), Physical IQA (PIQA) (Bisk et al., 2020), and MCScript2.0 (Ostermann et al., 2019) datasets with 3 diverse KGs: ATOMIC (Sap et al., 2019a), ConceptNet (Speer et al., 2017), and an automatically constructed instructional KG based on WikiHow (Koupaee and Wang, 2018). With our methods we are able to demonstrate that ATOMIC, an event-inference focused KG, is the best match for SIQA and MCScript2.0, and that the taxonomic ConceptNet and WikiHow-based KGs are the best matches for PIQA across all 3 analysis phases. We verify our methods and findings with human evaluation. © 2021 Association for Computational Linguistics",Final,,
Bouziane A.; Bouchiha D.; Doumi N.,Annotating Arabic Texts with Linked Data,1,1,1,#use #arabic,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106857950&doi=10.1109%2fISIA51297.2020.9416543&partnerID=40&md5=ffe754a542a65be0b0f0ada6d5e53302,"The evolution of the traditional Web towards the semantic Web allows the machine to be a first-order citizen on the Web and increases discoverability of and accessibility to the unstructured data on the Web. This evolution enables the Linked Data technology to be used as background knowledge bases for unstructured data, notably the texts, available nowadays on the Web. For the Arabic language, the current situation is less brightness; the content of the Arabic language on the Web doesn't reflect the importance of this language. Given the fact that Arabic is one of the most important languages in the Web, and unfortunately it is under-resourced, so creating linguistic resources for it now is a necessity. Thus, we developed a linguistic approach for annotating Arabic textual corpus with Linked Data, especially DBpedia, which is Linked Open Data (LOD) extracted from Wikipedia. This approach uses natural language techniques to shedding light on Arabic text with Linked Open Data. The evaluation results of this approach are encouraging, despite the high complexity of our independent-domain knowledge base and the reduced resources in Arabic natural language processing. © 2020 IEEE.",Final,,
Kancheva Z.; Radev I.,Linguistic vs Encyclopaedic Knowledge. Classification of MWEs from Wikipedia Articles,1,1,1,#use,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098103687&doi=10.2478%2fcait-2020-0051&partnerID=40&md5=a78ab248628da4eb3d98a025ca7a4b6d,"This paper reports on the first steps in the creation of linked data through the mapping between the synsets of BTB-WordNet and the articles in Bulgarian Wikipedia. The task of expanding the BTB-WordNet with encyclopaedic knowledge is done by mapping its synsets to Wikipedia articles with many MWEs found in the articles and subjected to further analysis. We look for a way to filter the Wikipedia MWEs in the effort of selecting the ones most beneficial to the enrichment of BTB-WN. © 2020 Z. Kancheva et al., published by Sciendo 2020.",Final,All Open Access; Gold Open Access,
Winiwarter W.,JAMRED - A Japanese abstract meaning representation EDitor,1,1,1,#use WordNet,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967225539&doi=10.1145%2f2837185.2837246&partnerID=40&md5=eae858b0144bbc20b9a769a5da793aa3,"Meaning Representation (AMR) has emerged recently as one of the most influential formalisms for the semantic representation of natural language. In this paper, we present a Web-based environment for the annotation of Japanese Web pages using augmented browsing and logic programming as the two key enabling technologies. We have developed a visual AMR editor strongly integrated into our Web-based Japanese language learning environment, which hides most of the complexities of AMR syntax from the user and extends it by grounding concepts through links to WordNet synsets and DBpedia resources. The resulting tool can be used meaningfully for several language engineering tasks, in particular, language learning, corpus annotation, and translation. © 2015 ACM.",Final,,
Winiwarter W.,JILL - Japanese incidental language learning,1,1,1,#use,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967145274&doi=10.1145%2f2837185.2837191&partnerID=40&md5=57f44e22da2b1e839b9e93bfae6dced2,"We present aWeb-based environment for incidental learning of Japanese. As the two key enabling technologies we use augmented browsing at the client and logic programming at the server. This way we can create a learning experience which blends foreign language acquisition with the user's everyday browsing activities. Main features presented in this paper are an intuitive visual presentation of sentence structures, comprehensive support at the word level by integrating several lexical resources including DBpedia, and multiple customization options. © 2015 ACM.",Final,,
Presutti V.; Nuzzolese A.G.; Consoli S.; Gangemi A.; Recupero D.R.,From hyperlinks to Semantic Web properties using Open Knowledge Extraction,1,1,1,#use,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971554079&doi=10.3233%2fSW-160221&partnerID=40&md5=ac1d14b2b6bd082d9df1734161891fb7,"Open information extraction approaches are useful but insufficient alone for populating the Web with machine readable information as their results are not directly linkable to, and immediately reusable from, other Linked Data sources. This work proposes a novel paradigm, named Open Knowledge Extraction, and its implementation (Legalo) that performs unsupervised, open domain, and abstractive knowledge extraction from text for producing machine readable information. The implemented method is based on the hypothesis that hyperlinks (either created by humans or knowledge extraction tools) provide a pragmatic trace of semantic relations between two entities, and that such semantic relations, their subjects and objects, can be revealed by processing their linguistic traces (i.e. the sentences that embed the hyperlinks) and formalised as Semantic Web triples and ontology axioms. Experimental evaluations conducted on validated text extracted from Wikipedia pages, with the help of crowdsourcing, confirm this hypothesis showing high performances. © 2016 - IOS Press and the authors.",Final,All Open Access; Green Open Access,
McCrae J.P.; Cimiano P.; Matteis L.; Navigli R.; Doncel V.R.; Vila-Suero D.; Gracia J.; Abele A.; Vulcu G.; Buitelaar P.,Reconciling Heterogeneous Descriptions of Language Resources,1,1,1,#use #reconciliation,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037062941&partnerID=40&md5=ed7fb332868691d899ab1410be3ce03d,"Language resources are a cornerstone of linguistic research and for the development of natural language processing tools, but the discovery of relevant resources remains a challenging task. This is due to the fact that relevant metadata records are spread among different repositories and it is currently impossible to query all these repositories in an integrated fashion, as they use different data models and vocabularies. In this paper we present a first attempt to collect and harmonize the metadata of different repositories, thus making them queriable and browsable in an integrated way. We make use of RDF and linked data technologies for this and provide a first level of harmonization of the vocabularies used in the different resources by mapping them to standard RDF vocabularies including Dublin Core and DCAT. Further, we present an approach that relies on NLP and in particular word sense disambiguation techniques to harmonize resources by mapping values of attributes - such as the type, license or intended use of a resource - into normalized values. Finally, as there are duplicate entries within the same repository as well as across different repositories, we also report results of detection of these duplicates. © 2015 Association for Computational Linguistics and Asian Federation of Natural Language Processing.",Final,,
Cheniki N.; Belkhir A.; Atif Y.,Supporting multilingual semantic Web services discovery by consuming data from DBpedia knowledge base,1,1,1,#use,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959933874&doi=10.1145%2f2816839.2816862&partnerID=40&md5=a79701a17e143e5939ac809da64d1d98,"The Web is becoming a truly multilingual hub in which speakers from different languages and cultures are producing, interacting and consuming information. Web services are an essential part of the Web which nowadays attract more and more people around the world. So, supporting multilingual Web services discovery is a crucial goal to achieve, so that providers and users publish or consume Web services independently from their culture and native language. In this paper, we propose to overcome language barrier by supporting multilingual Web services discovery using DB-pedia, which is a cross-domain multilingual knowledge base. DBpedia is used to annotate services with semantic entities called resources as well as their categories and types. We take advantage of semantic and multilingual information provided by DBpedia to enable cross-language semantic Web services discovery. Implementation shows that DBpedia offers a valuable information source to achieve our goal. © 2015 ACM.",Final,,
Mohamed R.; El-Makky N.M.; Nagi K.,ArabRelat: Arabic relation extraction using distant supervision,1,1,1,#use,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961176131&doi=10.5220%2f0005636604100417&partnerID=40&md5=2dd482bce31d0abcd1362f835dce4eb3,"Relation Extraction is an important preprocessing task for a number of text mining applications, including: Information Retrieval, Question Answering, Ontology building, among others. In this paper, we propose a novel Arabic relation extraction method that leverages linguistic features of the Arabic language in Web data to infer relations between entities. Due to the lack of labeled Arabic corpora, we adopt the idea of distant supervision, where DBpedia, a large database of semantic relations extracted from Wikipedia, is used along with a large unlabeled text corpus to build the training data. We extract the sentences from the unlabeled text corpus, and tag them using the corresponding DBpedia relations. Finally, we build a relation classifier using this data which predicts the relation type of new instances. Our experimental results show that the system reaches 70% for the F-measure in detecting relations. Copyright © 2015 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved.",Final,,
Dragoni M.; Tettamanzi A.G.B.; da Costa Pereira C.,Propagating and Aggregating Fuzzy Polarities for Concept-Level Sentiment Analysis,1,1,1,#use #sentimentanalysis WordNet and senticnet,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926322258&doi=10.1007%2fs12559-014-9308-6&partnerID=40&md5=76b58e9064aa0df3998923e453fa0fa6,"An emerging field within sentiment analysis concerns the investigation about how sentiment polarities associated with concepts have to be adapted with respect to the different domains in which they are used. In this paper, we explore the use of fuzzy logic for modeling concept polarities, and the uncertainty associated with them, with respect to different domains. The approach is based on the use of a knowledge graph built by combining two linguistic resources, namely WordNet and SenticNet. Such a knowledge graph is then exploited by a graph-propagation algorithm that propagates sentiment information learned from labeled datasets. The system implementing the proposed approach has been evaluated on the Blitzer dataset. The results demonstrate its viability in real-world cases. © 2014, Springer Science+Business Media New York.",Final,All Open Access; Green Open Access,
Álvarez A.A.,"Enriching Digitized Medieval Manuscripts: Linking Image, Text and Lexical Knowledge",1,1,1,#use,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122503695&partnerID=40&md5=a7452c56d9465f76100490ec9185d749,"This paper describes an on-going project of transcribing and annotating digitized manuscripts of medieval Spanish with paleographic and lexical information. We link lexical units from the manuscripts with the Multilingual Central Repository (MCR), making terms retrievable by any of the languages that integrate MCR. The goal of the project is twofold: creating a paleographic knowledge base from digitized medieval facsimiles, that will allow paleographers, philologist, historical linguist, and humanities scholars in general, to analyze and retrieve graphemic, lexical and textual information from historical documents; and on the other hand, developing machine readable documents that will link image representations of graphemic and lexical units in a facsimile with Linked Open Data resources. This paper concentrates on the encoding and cross-linking procedures. c 2015 Association for Computational Linguistics and The Asian Federation of Natural Language Processing. © 2015 Proceedings of the Annual Meeting of the Association for Computational Linguistics.",Final,,
Siemoneit B.; McCrae J.P.; Cimiano P.,Linking four heterogeneous language resources as linked data,1,1,1,#use,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009269613&partnerID=40&md5=dfbe34f7414893e5c07f0c81c0ec3ccb,"The interest in publishing language resources as linked data is increasing, as clearly corroborated by the recent growth of the Linguistic Linked Data cloud. However, the actual value of data published as linked data is the fact that it is linked across datasets, supporting integration and discovery of data. As the manual creation of links between datasets is costly and therefore does not scale well, automatic linking approaches are of great importance to increase the quality and degree of linking of the Linguistic Linked Data cloud. In this paper we examine an automatic approach to link four different datasets to each other: Two terminologies, the European Migration Network (EMN) glossary as well as the Interactive Terminology for Europe (IATE), BabelNet, and the Manually Annotated Subcorpus (MASC) of the American National Corpus. We describe our methodology, present some results on the quality of the links and summarize our experiences with this small linking exercise We will make sure that the resources are added to the linguistic linked data cloud. © 2015 Association for Computational Linguistics and Asian Federation of Natural Language Processing.",Final,,
Chen Y.-N.; Wang W.Y.; Rudnicky A.I.,Jointly modeling inter-slot relations by random walk on knowledge graphs for unsupervised spoken language understanding,1,1,1,#use,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959178594&doi=10.3115%2fv1%2fn15-1064&partnerID=40&md5=063c7e0df5060b318024b813d9264f66,"A key challenge of designing coherent semantic ontology for spoken language understanding is to consider inter-slot relations. In practice, however, it is difficult for domain experts and professional annotators to define a coherent slot set, while considering various lexical, syntactic, and semantic dependencies. In this paper, we exploit the typed syntactic dependency theory for unsupervised induction and filling of semantics slots in spoken dialogue systems. More specifically, we build two knowledge graphs: a slot-based semantic graph, and a word-based lexical graph. To jointly consider word-to-word, word-toslot, and slot-to-slot relations, we use a random walk inference algorithm to combine the two knowledge graphs, guided by dependency grammars. The experiments show that considering inter-slot relations is crucial for generating a more coherent and compete slot set, resulting in a better spoken language understanding model, while enhancing the interpretability of semantic slots. © 2015 Association for Computational Linguistics.",Final,All Open Access; Green Open Access; Hybrid Gold Open Access,
Arcan M.; Turchi M.; Buitelaar P.,Knowledge portability with semantic expansion of ontology labels,1,1,1,#use,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943746735&doi=10.3115%2fv1%2fp15-1069&partnerID=40&md5=cb59323a8b2b76877cf4445da028a55e,"Our research focuses on the multilingual enhancement of ontologies that, often represented only in English, need to be translated in different languages to enable knowledge access across languages. Ontology translation is a rather different task then the classic document translation, because ontologies contain highly specific vocabulary and they lack contextual information. For these reasons, to improve automatic ontology translations, we first focus on identifying relevant unambiguous and domain-specific sentences from a large set of generic parallel corpora. Then, we leverage Linked Open Data resources, such as DBPedia, to isolate ontologyspecific bilingual lexical knowledge. In both cases, we take advantage of the semantic information of the labels to select relevant bilingual data with the aim of building an ontology-specific statistical machine translation system. We evaluate our approach on the translation of a medical ontology, translating from English into German. Our experiment shows a significant improvement of around 3 BLEU points compared to a generic as well as a domain-specific translation approach. © 2015 Association for Computationl Linguisticss.",Final,All Open Access; Green Open Access; Hybrid Gold Open Access,
Perera R.; Nand P.,A multi-strategy approach for lexicalizing linked open data,1,1,1,#use,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942510700&doi=10.1007%2f978-3-319-18117-2_26&partnerID=40&md5=377178b92a49433985cfee371f267073,"This paper aims at exploiting Linked Data for generating natural text, often referred to as lexicalization. We propose a framework that can generate patterns which can be used to lexicalize Linked Data triples. Linked Data is structured knowledge organized in the form of triples consisting of a subject, a predicate and an object. We use DBpedia as the Linked Data source which is not only free but is currently the fastest growing data source organized as Linked Data. The proposed framework utilizes the Open Information Extraction (OpenIE) to extract relations from natural text and these relations are then aligned with triples to identify lexicalization patterns. We also exploit lexical semantic resources which encode knowledge on lexical, semantic and syntactic information about entities. Our framework uses VerbNet and WordNet as semantic resources. The extracted patterns are ranked and categorized based on the DBpedia ontology class hierarchy. The pattern collection is then sorted based on the score assigned and stored in an index embedded database for use in the framework as well as for future lexical resource. The framework was evaluated for syntactic accuracy and validity by measuring the Mean Reciprocal Rank (MRR) of the first correct pattern. The results indicated that framework can achieve 70.36% accuracy and a MRR value of 0.72 for five DBpedia ontology classes generating 101 accurate lexicalization patterns. © Springer International Publishing Switzerland 2015.",Final,,
Li Q.; Liu S.; Lin R.; Li M.; Zhou M.,Entity translation with collective inference in knowledge graph,1,1,1,#use,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951275676&doi=10.1007%2f978-3-319-25207-0_5&partnerID=40&md5=5981a3d872977177e02b88848fe0a77c,"Nowadays knowledge base (KB) has been viewed as one of the important infrastructures for many web search applications and NLP tasks. However, in practice the availability of KB data varies from language to language, which greatly limits potential usage of knowledge base. In this paper, we propose a novel method to construct or enrich a knowledge base by entity translation with help of another KB but compiled in a different language. In our work, we concentrate on two key tasks: 1) collecting translation candidates with as good coverage as possible from various sources such as web or lexicon; 2) building an effective disambiguation algorithm based on collective inference approach over knowledge graph to find correct translation for entities in the source knowledge base. We conduct experiments on movie domain of our inhouse knowledge base from English to Chinese, and the results show the proposed method can achieve very high translation precision compared with classical translation methods, and significantly increase the volume of Chinese knowledge base in this domain. © Springer International Publishing Switzerland 2015.",Final,,
Chen Y.; Skiena S.,Building sentiment lexicons for all major languages,1,1,1,#use,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906927782&doi=10.3115%2fv1%2fp14-2063&partnerID=40&md5=21feca95c076bbfb9e61213e4383cbf7,"Sentiment analysis in a multilingual world remains a challenging problem, because developing language-specific sentiment lexicons is an extremely resourceintensive process. Such lexicons remain a scarce resource for most languages. In this paper, we address this lexicon gap by building high-quality sentiment lexicons for 136 major languages. We integrate a variety of linguistic resources to produce an immense knowledge graph. By appropriately propagating from seed words, we construct sentiment lexicons for each component language of our graph. Our lexicons have a polarity agreement of 95.7% with published lexicons, while achieving an overall coverage of 45.2%. We demonstrate the performance of our lexicons in an extrinsic analysis of 2,000 distinct historical figures' Wikipedia articles on 30 languages. Despite cultural difference and the intended neutrality of Wikipedia articles, our lexicons show an average sentiment correlation of 0.28 across all language pairs. © 2014 Association for Computational Linguistics.",Final,All Open Access; Bronze Open Access; Green Open Access,
Di Buono M.P.; Monteleone M.; Elia A.,Terminology and Knowledge Representation Italian Linguistic Resources for the Archaeological Domain,1,1,1,#use #domainspecific,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978822095&partnerID=40&md5=ef7bef62c8826d6dc79abd7bef319b80,"Knowledge representation is heavily based on using terminology, due to the fact that many terms have precise meanings in a specific domain but not in others. As a consequence, terms becomes unambiguous and clear, and at last, being useful for conceptualizations, are used as a starting point for formalizations. Starting from an analysis of problems in existing dictionaries, in this paper we present formalized Italian Linguistic Resources (LRs) for the Archaeological domain, in which we integrate/couple formal ontology classes and properties into/to electronic dictionary entries, using a standardized conceptual reference model. We also add Linguistic Linked Open Data (LLOD) references in order to guarantee the interoperability between linguistic and language resources, and therefore to represent knowledge. © COLING 2014. All rights reserved.",Final,,
Walter S.; Unger C.; Cimiano P.,A corpus-based approach for the induction of ontology lexica,1,1,1,#use,2013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884933747&doi=10.1007%2f978-3-642-38824-8_9&partnerID=40&md5=6d5dbc4fbc39c798ec928d0de77de5d1,"While there are many large knowledge bases (e.g. Freebase, Yago, DBpedia) as well as linked data sets available on the web, they typically lack lexical information stating how the properties and classes are realized lexically. If at all, typically only one label is attached to these properties, thus lacking any deeper syntactic information, e.g. about syntactic arguments and how these map to the semantic arguments of the property as well as about possible lexical variants or paraphrases. While there are lexicon models such as lemon allowing to define a lexicon for a given ontology, the cost involved in creating and maintaining such lexica is substantial, requiring a high manual effort. Towards lowering this effort, in this paper we present a semi-automatic approach that exploits a corpus to find occurrences in which a given property is expressed, and generalizing over these occurrences by extracting dependency paths that can be used as a basis to create lemon lexicon entries. We evaluate the resulting automatically generated lexica with respect to DBpedia as dataset and Wikipedia as corresponding corpus, both in an automatic mode, by comparing to a manually created lexicon, and in a semi-automatic mode in which a lexicon engineer inspected the results of the corpus-based approach, adding them to the existing lexicon if appropriate. © 2013 Springer-Verlag Berlin Heidelberg.",Final,All Open Access; Green Open Access,
Schneidermann N.S.; Pedersen B.S.,"Evaluating a New Danish Sentiment Resource: the Danish Sentiment Lexicon, DSL",1,1,1,#use,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146225959&partnerID=40&md5=f56055c8d4bfb8efa5e69f27e218c159,"In this paper, we evaluate a new sentiment lexicon for Danish, the Danish Sentiment Lexicon (DSL), to gain input regarding how to carry out the final adjustments of the lexicon. A feature of the lexicon that differentiates it from other sentiment resources for Danish is that it is linked to a large number of other Danish lexical resources via the DDO lemma and sense inventory and the LLOD via the Danish WordNet, DanNet. We perform our evaluation on four datasets labeled with sentiments. In addition, we compare the lexicon against two existing benchmarks for Danish: the Afinn and the Sentida resources. We observe that DSL performs mostly comparably to the existing resources, but that more fine-grained explorations need to be done in order to fully exploit its possibilities given its linking properties. © European Language Resources Association (ELRA), licensed under CC-BY-NC-4.0.",Final,,
Sun Y.; Shi Q.; Qi L.; Zhang Y.,JointLK: Joint Reasoning with Language Models and Knowledge Graphs for Commonsense Question Answering,1,1,1,#use,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138372259&partnerID=40&md5=5e07a3b2313a072bb3f369edb054dac8,"Existing KG-augmented models for commonsense question answering primarily focus on designing elaborate Graph Neural Networks (GNNs) to model knowledge graphs (KGs). However, they ignore (i) the effectively fusing and reasoning over question context representations and the KG representations, and (ii) automatically selecting relevant nodes from the noisy KGs during reasoning. In this paper, we propose a novel model, JointLK, which solves the above limitations through the joint reasoning of LM and GNN and the dynamic KGs pruning mechanism. Specifically, JointLK performs joint reasoning between LM and GNN through a novel dense bidirectional attention module, in which each question token attends on KG nodes and each KG node attends on question tokens, and the two modal representations fuse and update mutually by multi-step interactions. Then, the dynamic pruning module uses the attention weights generated by joint reasoning to prune irrelevant KG nodes recursively. We evaluate JointLK on the CommonsenseQA and OpenBookQA datasets, and demonstrate its improvements to the existing LM and LM+KG models, as well as its capability to perform interpretable reasoning. © 2022 Association for Computational Linguistics.",Final,,
Kirillovich A.; Nikolaev K.,Adapting the LodView RDF Browser for Navigation over the Multilingual Linguistic Linked Open Data Cloud,1,1,1,#use,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138990992&doi=10.1109%2fSETIT54465.2022.9875628&partnerID=40&md5=6ad70bd7390e781408048147b270f432,"This paper is dedicated to using of LodView RDF browser for navigation over the multilingual Linguistic Linked Open Data cloud. We reveal several limitations of LodView that impede its use for this purpose, and propose improvements to be made for fixing these limitations. These improvements are: 1) resolution of Cyrillic URIs; 2) decoding Cyrillic URIs in Turtle representations of resources; 3) support of Cyrillic literals; 4) user-friendly URLs for RDF representations of resources; 5) support of hash URIs; 6) expanding nested resources; 7) support of RDF collections; 8) support of LATEX math notation; and 9) pagination of resource property values. We implement several of the proposed improvements. © 2022 IEEE.",Final,All Open Access; Green Open Access,
Porzel R.; Pomarlan M.; Spillner L.; Bateman J.; Mildner T.; Santagiustina C.,Narrativizing Knowledge Graphs,1,1,1,#use,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142493609&partnerID=40&md5=97e9b0544dd52d6554863b5fbd4e8177,"Any natural language expression of a set of facts - that can be represented as a knowledge graph - will more or less overtly assume a specific perspective on these facts. In this paper we see the conversion of a given knowledge graph into natural language as the construction of a narrative about the assertions made by the knowledge graph. We, therefore, propose a specific pipeline that can be applied to produce linguistic narratives from knowledge graphs using an ontological layer and corresponding rules that turn a knowledge graph into a semantic specification for natural language generation. Critically, narratives are seen as necessarily committing to specific perspectives taken on the facts presented. We show how this most commonly neglected facet of producing summaries of facts can be brought under control. © 2021 Copyright for this paper by its authors.",Final,,
AlMousa M.; Benlamri R.; Khoury R.,Exploiting non-taxonomic relations for measuring semantic similarity and relatedness in WordNet,1,1,1,#use,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095852763&doi=10.1016%2fj.knosys.2020.106565&partnerID=40&md5=5573a5a128dd93ea1e4d6a4101770633,"Various applications in computational linguistics and artificial intelligence employ semantic similarity to solve challenging tasks, such as word sense disambiguation, text classification, information retrieval, machine translation, and document clustering. To our knowledge, research to date rely solely on the taxonomic relation “ISA” to evaluate semantic similarity and relatedness between terms. This paper explores the benefits of using all types of non-taxonomic relations in large linked data, such as WordNet knowledge graph, to enhance existing semantic similarity and relatedness measures. We propose a holistic poly-relational approach based on a new relation-based information content and non-taxonomic-based weighted paths to devise a comprehensive semantic similarity and relatedness measure. To demonstrate the benefits of exploiting non-taxonomic relations in a knowledge graph, we used three strategies to deploy non-taxonomic relations at different granularity levels. We conduct experiments on four well-known gold standard datasets. The results of our proposed method demonstrate an improvement over the benchmark semantic similarity methods, including the state-of-the-art knowledge graph embedding techniques, that ranged from 3.8%–23.8%, 1.3%–18.3%, 31.8%–117.2%, and 19.1%–111.1%, on all gold standard datasets MC, RG, WordSim, and Mturk, respectively. These results demonstrate the robustness and scalability of the proposed semantic similarity and relatedness measure, significantly improving existing similarity measures. © 2020 Elsevier B.V.",Final,All Open Access; Green Open Access,
Sprugnoli R.; Passarotti M.; Testori M.; Moretti G.,Extending and Using a Sentiment Lexicon for Latin in a Linked Data Framework,1,1,1,#use,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126062402&partnerID=40&md5=9b41dc7547f84161c3b88dc7d0c48d59,"In this paper we present the methodology followed to extend a Latin sentiment lexicon (called LatinAffectus), the process of inclusion of the lexicon in a knowledge base of interoperable linguistic resources for Latin and one use case performed on the treebank of Dante Alighieri's Latin works annotated following the Universal Dependencies guidelines. In addition, we report on our first attempt at linking the polarity scores of SentiWordNet 3.0 to a manually revised version of Latin WordNet. © 2021 Copyright for this paper by its authors",Final,,
Martín-Chozas P.; Ahmadi S.; Montiel-Ponsoda E.,Defying wikidata: Validation of terminological relations in the web of data,1,1,1,#use,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096530716&partnerID=40&md5=8658e3c7154fd8ea391e1f3a2b1933ab,"In this paper we present an approach to validate terminological data retrieved from open encyclopaedic knowledge bases. This need arises from the enrichment of automatically extracted terms with information from existing resources in the Linguistic Linked Open Data cloud. Specifically, the resource employed for this enrichment is WIKIDATA, since it is one of the biggest knowledge bases freely available within the Semantic Web. During the experiment, we noticed that certain RDF properties in the Knowledge Base did not contain the data they are intended to represent, but a different type of information. In this paper we propose an approach to validate the retrieved data based on four axioms that rely on two linguistic theories: the x-bar theory and the multidimensional theory of terminology. The validation process is supported by a second knowledge base specialised in linguistic data; in this case, CONCEPTNET. In our experiment, we validate terms from the legal domain in four languages: Dutch, English, German and Spanish. The final aim is to generate a set of sound and reliable terminological resources in RDF to contribute to the population of the Linguistic Linked Open Data cloud. © European Language Resources Association (ELRA), licensed under CC-BY-NC",Final,,
