Authors,Title,Reviewer1,Reviewer2,Overall,Motivation,Year,Link,Abstract,Publication Stage,Open Access,Manually added
Sun J.; Zhou Y.; Zong C.,Dual Attention Network for Cross-lingual Entity Alignment,-1,-1,-1,#excluded #outofscope no linguistic features,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118162781&partnerID=40&md5=61cd41f1405fabda8471fa50432ba931,"Cross-lingual Entity alignment is an essential part of building a knowledge graph, which can help integrate knowledge among different language knowledge graphs. In the real KGs, there exists an imbalance among the information in the same hierarchy of corresponding entities, which results in the heterogeneity of neighborhood structure, making this task challenging. To tackle this problem, we propose a dual attention network for cross-lingual entity alignment (DAEA). Specifically, our dual attention consists of relation-aware graph attention and hierarchical attention. The relation-aware graph attention aims at selectively aggregating multi-hierarchy neighborhood information to alleviate the difference of heterogeneity among counterpart entities. The hierarchical attention adaptively aggregates the low-hierarchy and the high-hierarchy information, which is beneficial to balance the neighborhood information of counterpart entities and distinguish non-counterpart entities with similar structures. Finally, we treat cross-lingual entity alignment as a process of linking prediction. Experimental results on three real-world cross-lingual entity alignment datasets have shown the effectiveness of DAEA. © 2020 COLING 2020 - 28th International Conference on Computational Linguistics, Proceedings of the Conference. All rights reserved.",Final,,
Xiao D.; Wang N.; Yu J.; Zhang C.; Wu J.,A Practice of Tourism Knowledge Graph Construction based on Heterogeneous Information,-1,-1,-1,#excluded #outofscope,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123925498&partnerID=40&md5=d8a760f15ff7c49db567686e5f7538ac,"The increasing amount of semi-structured and unstructured data on tourism websites brings a need for information extraction (IE) so as to construct a Tourism-domain Knowledge Graph (TKG), which is helpful to manage tourism information and develop downstream applications such as tourism search engine, recommendation and Q & A. However, the existing TKG is deficient, and there are few open methods to promote the construction and widespread application of TKG. In this paper, we present a systematic framework to build a TKG for Hainan, collecting data from popular tourism websites and structuring it into triples. The data is multi-source and heterogeneous, which raises a great challenge for processing it. So we develop two pipelines of processing methods for semi-structured data and unstructured data respectively. We refer to tourism InfoBox for semi-structured knowledge extraction and leverage deep learning algorithms to extract entities and relations from unstructured travel notes, which are colloquial and high-noise, and then we fuse the extracted knowledge from two sources. Finally, a TKG with 13 entity types and 46 relation types is established, which totally contains 34,079 entities and 441,371 triples. The systematic procedure proposed by this paper can construct a TKG from tourism websites, which can further applied to many scenarios and provide detailed reference for the construction of other domain-specific knowledge graphs. © 2020 China National Conference on Computational Linguistics Published under Creative Commons Attribution 4.0 International License",Final,,
Shang C.; Dash S.; Chowdhury M.F.M.; Mihindukulasooriya N.; Gliozzo A.,Taxonomy construction of unseen domains via graph-based cross-domain knowledge transfer,-1,-1,-1,#excluded #outofscope,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101645961&partnerID=40&md5=8b71815e0578f3c59caba73dcc253e7c,"Extracting lexico-semantic relations as graph-structured taxonomies, also known as taxonomy construction, has been beneficial in a variety of NLP applications. Recently Graph Neural Network (GNN) has shown to be powerful in successfully tackling many tasks. However, there has been no attempt to exploit GNN to create taxonomies. In this paper, we propose Graph2Taxo, a GNN-based cross-domain transfer framework for the taxonomy construction task. Our main contribution is to learn the latent features of taxonomy construction from existing domains to guide the structure learning of an unseen domain. We also propose a novel method of directed acyclic graph (DAG) generation for taxonomy construction. Specifically, our proposed Graph2Taxo uses a noisy graph constructed from automatically extracted noisy hyponym-hypernym candidate pairs, and a set of taxonomies for some known domains for training. The learned model is then used to generate taxonomy for a new unknown domain given a set of terms for that domain. Experiments on benchmark datasets from science and environment domains show that our approach attains significant improvements correspondingly over the state of the art. © 2020 Association for Computational Linguistics",Final,,
Liu Y.; Yang T.; You Z.; Fan W.; Yu P.S.,Commonsense evidence generation and injection in reading comprehension,-1,-1,-1,#excluded #outofscope no linguistic features,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112400683&partnerID=40&md5=beb4c3d7e5ce103f367754e3f5ac9179,"Human tackle reading comprehension not only based on the given context itself but often rely on the commonsense beyond. To empower the machine with commonsense reasoning; in this paper, we propose a Commonsense Evidence Generation and Injection framework in reading comprehension, named CEGI. The framework injects two kinds of auxiliary commonsense evidence into comprehensive reading to equip the machine with the ability of rational thinking. Specifically, we build two evidence generators: one aims to generate textual evidence via a language model; the other aims to extract factual evidence (automatically aligned text-triples) from a commonsense knowledge graph after graph completion. Those evidences incorporate contextual commonsense and serve as the additional inputs to the reasoning model. Thereafter, we propose a deep contextual encoder to extract semantic relationships among the paragraph, question, option, and evidence. Finally, we employ a capsule network to extract different linguistic units (word and phrase) from the relations, and dynamically predict the optimal option based on the extracted units. Experiments on the CosmosQA dataset demonstrate that the proposed CEGI model outperforms the current state-ofthe- art approaches and achieves the highest accuracy (83.6%) on the leaderboard.  © 2020 Association for Computational Linguistics.",Final,,
Ahmed A.F.; Sherif M.A.; Ngomo A.-C.N.,Do your resources sound similar?: On the impact of using phonetic similarity in link discovery,-1,-1,-1,#excluded #outofscope no semantic web technologies,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077281634&doi=10.1145%2f3360901.3364426&partnerID=40&md5=4e795910464eb701e47e6e66aba297ce,"An increasing number of heterogeneous datasets abiding by the Linked Data paradigm is published everyday. Discovering links between these datasets is thus central to achieving the vision behind the Data Web. Declarative Link Discovery (LD) frameworks rely on complex Link Specification (LS) to express the conditions under which two resources should be linked. Complex LS combine similarity measures with thresholds to determine whether a given predicate holds between two resources. State of the art LD frameworks rely mostly on string-based similarity measures such as Levenshtein and Jaccard. However, string-based similarity measures often fail to catch the similarity of resources with phonetically similar property values when these property values are represented using different string representation (e.g., names and street labels). In this paper, we evaluate the impact of using phonetics-based similarities in the process of LD. Moreover, we evaluate the impact of phonetic-based similarity measures on a state-of-the-art machine learning approach used to generate LS. Our experiments suggest that the combination of string-based and phonetic-based measures can improve the F-measures achieved by LD frameworks on most datasets. © 2019 ACM.",Final,,
Moussallem D.; Wauer M.; Ngomo A.-C.N.,Machine Translation using Semantic Web Technologies: A Survey,-1,-1,-1,#excluded #outofscope,2018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050401657&doi=10.1016%2fj.websem.2018.07.001&partnerID=40&md5=17bff552c618b5eb882b13c045373e4c,"A large number of machine translation approaches have recently been developed to facilitate the fluid migration of content across languages. However, the literature suggests that many obstacles must still be dealt with to achieve better automatic translations. One of these obstacles is lexical and syntactic ambiguity. A promising way of overcoming this problem is using Semantic Web technologies. This article presents the results of a systematic review of machine translation approaches that rely on Semantic Web technologies for translating texts. Overall, our survey suggests that while Semantic Web technologies can enhance the quality of machine translation outputs for various problems, the combination of both is still in its infancy. © 2018 Elsevier B.V.",Final,All Open Access; Green Open Access,
Garcia-Silva A.; Gomez-Perez J.M.,Not just about size - A study on the role of distributed word representations in the analysis of scientific publications,-1,-1,-1,#excluded #outofscope,2018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048346653&partnerID=40&md5=2f26e252d5b0328167684c77e6280863,"The emergence of knowledge graphs in the scholarly communication domain and recent advances in artificial intelligence and natural language processing bring us closer to a scenario where intelligent systems can assist scientists over a range of knowledge-intensive tasks. In this paper we present experimental results about the generation of word embeddings from scholarly publications for the intelligent processing of scientific texts extracted from SciGraph. We compare the performance of domain-specific embeddings with existing pre-trained vectors generated from very large and general purpose corpora. Our results suggest that there is a trade-off between corpus speciflcity and volume. Embeddings from domain-specific scientific corpora effectively capture the semantics of the domain. On the other hand, obtaining comparable results through general corpora can also be achieved, but only in the presence of very large corpora of well formed text. Furthermore, we also show that the degree of overlapping between knowledge areas is directly related to the performance of embeddings in domain evaluation tasks. © 2018 CEUR Workshop Proceedings. All rights reserved.",Final,,
Han X.; Liu Z.; Sun M.,Neural knowledge acquisition via mutual attention between knowledge graph and text,-1,-1,-1,#excluded #outofscope,2018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060500143&partnerID=40&md5=17c79a5a40150bd0e5fae1214d4a8f93,"We propose a general joint representation learning framework for knowledge acquisition (KA) on two tasks, knowledge graph completion (KGC) and relation extraction (RE) from text. In this framework, we learn representations of knowledge graphs (KGs) and text within a unified parameter sharing semantic space. To achieve better fusion, we propose an effective mutual attention between KGs and text. The reciprocal attention mechanism enables us to highlight important features and perform better KGC and RE. Different from conventional joint models, no complicated linguistic analysis or strict alignments between KGs and text are required to train our models. Experiments on relation extraction and entity link prediction show that models trained under our joint framework are significantly improved in comparison with other baselines. Most existing methods for KGC and RE can be easily integrated into our framework due to its flexible architectures. The source code of this paper can be obtained from https://github.com/thunlp/JointNRE. Copyright © 2018, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.",Final,,
Trandabat D.; Gifu D.,Social Media and the Web of Linked Data,-1,-1,-1,#excluded,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027959093&doi=10.1109%2fJCDL.2017.7991624&partnerID=40&md5=91788d3e7156d6dfb7efc8586fee346f,"Written texts have perhaps never been so widely used as they are in today's social media context, with people constantly writing, sharing, commenting, getting involved. At the same time, Linked Data is emerging as an increasingly important topic, and research in this area has resulted in massive amounts of structured linguistic data. In this climate, we intend to analyze how linked data can help to structure and extract meaning from social media's short, informal and context dependent texts, with an emphasis on real-life applications. © 2017 IEEE.",Final,,
Both F.; Thoma S.; Rettinger A.,Cross-modal knowledge transfer: Improving the word embedding of apple by looking at oranges,-1,-1,-1,#excluded #outofscope,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040602084&doi=10.1145%2f3148011.3148026&partnerID=40&md5=824cabcd87f1f2c599a636242b7ee82f,"Capturing knowledge via learned latent vector representations of words, images and knowledge graph (KG) entities has shown state of-the-art performance in computer vision, computational linguistics and KG tasks. Recent results demonstrate that the learning of such representations across modalities can be beneficial, since each modality captures complementary information. However, those approaches are limited to concepts with cross-modal alignments in the training data which are only available for just a few concepts. Especially for visual objects exist far fewer embeddings than for words or KG entities. We investigate whether a word embedding (e.g., for ""apple"") can still capture information from other modalities even if there is no matching concept within the other modalities (i.e., no images or KG entities of apples but of oranges as pictured in the title analogy). The empirical results of our knowledge transfer approach demonstrate that word embeddings do benefit from extrapolating information across modalities even for concepts that are not represented in the other modalities. Interestingly, this applies most to concrete concepts (e.g., dragonfly) while abstract concepts (e.g., animal) benefit most if aligned concepts are available in the other modalities. © 2017 Copyright held by the owner/author(s).",Final,,
Chiarcos C.; Cimiano P.; Declerck T.; McCrae J.P.,Linguistic Linked Open Data (LLOD) Introduction and Overview,-1,,-1,#excluded #workshopreview,2013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059046541&partnerID=40&md5=9f2ae4ae81b4f4a20c4a076f5c4b661f,"The explosion of information technology has led to a substantial growth in quantity, diversity and complexity of linguistic data accessible over the internet. The lack of interoperability between linguistic and language resources represents a major challenge that needs to be addressed, in particular, if information from different sources is to be combined, like, say, machine-readable lexicons, corpus data and terminology repositories. For these types of resources, domain- specific standards have been proposed, yet, issues of interoperability between different types of resources persist, commonly accepted strategies to distribute, access and integrate their information have yet to be established, and technologies and infrastructures to address both aspects are still under development. The goal of the 2nd Workshop on Linked Data in Linguistics (LDL-2013) has been to bring together researchers from various fields of linguistics, natural language processing, and information technology to present and discuss principles, case studies, and best practices for representing, publishing and linking linguistic data collections, including corpora, dictionaries, lexical networks, translation memories, thesauri, etc., infrastructures developed on that basis, their use of existing standards, and the publication and distribution policies that were adopted. © LDL 2013.All right reserved.",Final,,
Ryman A.G.; Le Hors A.J.; Speicher S.,OSLC resource shape a language for defining constraints on linked data,-1,-1,-1,#excluded,2013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916627887&partnerID=40&md5=714ac7f0d20d83c7e56598ec8356022c,"IBM has for several years been employing a read/write usage of Linked Data as an architectural style for integrating a suite of applications. We are encouraged by the work done by the W3C Linked Data Platform Working Group which is chartered to produce a W3C Recommendation for HTTP-based (RESTful) application integration patterns using read/write Linked Data . The Linked Data Platform Recommendation will provide the industry with a solid foundation to build on. Yet, more work will need to be done to address in a standard way the needs of enterprise solutions that use Linked Data as an application integration platform. One such need is a type definition language that can be used to communicate and validate constraints on RDF data. This paper explains the need for such a language, why standards like RDFS and OWL are not suitable answers and, finally, introduces OSLC Resource Shapes as a proposed solution.",Final,,
Gracia J.; Montiel-Ponsoda E.; Cimiano P.; Gómez-Pérez A.; Buitelaar P.; McCrae J.,Challenges for the multilingual Web of Data,-1,-1,-1,#excluded,2012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857791906&doi=10.1016%2fj.websem.2011.09.001&partnerID=40&md5=2bd276fb961603349bea90176b48e706,"The Web has witnessed an enormous growth in the amount of semantic information published in recent years. This growth has been stimulated to a large extent by the emergence of Linked Data. Although this brings us a big step closer to the vision of a Semantic Web, it also raises new issues such as the need for dealing with information expressed in different natural languages. Indeed, although the Web of Data can contain any kind of information in any language, it still lacks explicit mechanisms to automatically reconcile such information when it is expressed in different languages. This leads to situations in which data expressed in a certain language is not easily accessible to speakers of other languages. The Web of Data shows the potential for being extended to a truly multilingual web as vocabularies and data can be published in a language-independent fashion, while associated language-dependent (linguistic) information supporting the access across languages can be stored separately. In this sense, the multilingual Web of Data can be realized in our view as a layer of services and resources on top of the existing Linked Data infrastructure adding (i) linguistic information for data and vocabularies in different languages, (ii) mappings between data with labels in different languages, and (iii) services to dynamically access and traverse Linked Data across different languages. In this article, we present this vision of a multilingual Web of Data. We discuss challenges that need to be addressed to make this vision come true and discuss the role that techniques such as ontology localization, ontology mapping, and cross-lingual ontology-based information access and presentation will play in achieving this. Further, we propose an initial architecture and describe a roadmap that can provide a basis for the implementation of this vision. © 2011 Elsevier B.V. All rights reserved.",Final,All Open Access; Green Open Access,
Yang Y.; Singh P.; Yao J.; Au Yeung C.-M.; Zareian A.; Wang X.; Cai Z.; Salvadores M.; Gibbins N.; Hall W.; Shadbolt N.,Distributed human computation framework for linked data co-reference resolution,-1,-1,-1,#excluded,2011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960061916&doi=10.1007%2f978-3-642-21034-1_3&partnerID=40&md5=264031c840ba1fd772cd249da2afb7f5,"Distributed Human Computation (DHC) is used to solve computational problems by incorporating the collaborative effort of a large number of humans. It is also a solution to AI-complete problems such as natural language processing. The Semantic Web with its root in AI has many research problems that are considered as AI-complete. E.g. co-reference resolution, which involves determining whether different URIs refer to the same entity, is a significant hurdle to overcome in the realisation of large-scale Semantic Web applications. In this paper, we propose a framework for building a DHC system on top of the Linked Data Cloud to solve various computational problems. To demonstrate the concept, we are focusing on handling the co-reference resolution when integrating distributed datasets. Traditionally machine-learning algorithms are used as a solution for this but they are often computationally expensive, error-prone and do not scale. We designed a DHC system named iamResearcher, which solves the scientific publication author identity co-reference problem when integrating distributed bibliographic datasets. In our system, we aggregated 6 million bibliographic data from various publication repositories. Users can sign up to the system to audit and align their own publications, thus solving the co-reference problem in a distributed manner. The aggregated results are dereferenceable in the Open Linked Data Cloud. © 2011 Springer-Verlag Berlin Heidelberg.",Final,All Open Access; Bronze Open Access; Green Open Access,
Ferrara A.; Nikolov A.; Scharffe F.,Data linking for the semantic web,-1,-1,-1,#excluded,2011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857578944&doi=10.4018%2fjswis.2011070103&partnerID=40&md5=0a41deed4891b8a445ca725d1cec6536,"By specifying that published datasets must link to other existing datasets, the 4th linked data principle ensures a Web of data and not just a set of unconnected data islands. The authors propose in this paper the term data linking to name the problem of finding equivalent resources on the Web of linked data. In order to perform data linking, many techniques were developed, finding their roots in statistics, database, natural language processing and graph theory. The authors begin this paper by providing background information and terminological clarifications related to data linking. Then a comprehensive survey over the various techniques available for data linking is provided. These techniques are classified along the three criteria of granularity, type of evidence, and source of the evidence. Finally, the authors survey eleven recent tools performing data linking and we classify them according to the surveyed techniques. © 2011 IGI Global.",Final,All Open Access; Green Open Access,
Sun W.; Celli F.; Morshed A.; Jaques Y.; Keizer J.,Design and implementation of a SOLR plug-in for Chinese-English cross-language query expansion based on SKOS thesauri,-1,,-1,#excluded #notavailable,2011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856889354&doi=10.1007%2f978-3-642-25992-0_51&partnerID=40&md5=748eae0a3b5aa1c7b35f698d8b7eb6fa,"Given that existing studies for query expansion techniques for Chinese-English are relatively few and their level of standardization low, in order to improve efficiency of Chinese-English cross-language retrieval, this paper discusses the design and implementation of a SOLR plug-in for Chinese-English cross-language query expansion based on SKOS thesauri and used within the AGRIS agricultural bibliographic system. The paper also elaborates the key techniques involved in the plug-in. Finally, taking the AGRIS data resources as an example, the paper shows application examples for segmentation of mixed Chinese and English, user query parsing and AGRIS retrieval system etc., techniques that have improved the Chinese-English cross-language retrieval efficiency to a certain extent, and laid a technical foundation for research about knowledge retrieval and discovery in related fields. © 2011 Springer-Verlag.",Final,All Open Access; Green Open Access,
Hulliyah K.; Kusuma H.T.,Application of knowledge graph for making Text Summarization (Analizing a text of educational issues),-1,-1,-1,#excluded #outofscope not lingusitic features,2010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052351173&doi=10.1109%2fICT4M.2010.5971919&partnerID=40&md5=649b688264fcf2756bc2c2e0fc8b129d,"Text Summerization, is a topic that is related to the fields of philosophy and linguistics [2] are also included in the social sciences, so often sought by researchers in computer science who prefer something in the field of exact sciences. Interestingly, the Text Summerization applications, is a system that will make a summary or conclusion of tens or hundreds of texts with similar themes in an overview that produces new knowledge. This system becomes very important if you have a problem cases to take a series of conclusions from existing text. The purpose of this research is to develop knowledge-graph method to do case studies to determine whether the knowledge graph that can be used as an efficient instrument in analyzing a text with the same theme in large numbers, then the results become much simpler in the form of graphs that can be used as new knowledge. © 2010 IEEE.",Final,,
Thoutenhoofd E.D.,The development of a filemaker Pro database for the morphemic analysis of productive forms in BSL,-1,,-1,#excluded #notavailable,2001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989380176&doi=10.1075%2fsll.4.12.08tho&partnerID=40&md5=ad5a8b81a32162efdc034f684e4e4248,"This article reports on a ‘rapid application development’ or RAD process to construct a research database in entry-level commercial database software, in this case FileMaker Pro. The database was required for a sign linguistic investigation into the morphology of the productive lexicon of British Sign Language (cf. Brennan’s article in this volume). Although at an early stage of development, the productive lexicon database (PLD) is an open and modifiable set of loosely-linked data files which can be reconfigured and remodelled according to user requirements, research aims or commercial objectives. The example offered is that of a trilingual sign/spoken language dictionary. The PLD’s flexible data model allows, as a matter of principle, for the combination of datasets irrespective of linguistic conventions used for data description. It is suggested that data models of this kind therefore open opportunities for research collaboration and commercial exploitation without necessitating detailed prior agreement on linguistic data description conventions or standards. © 2001 John Benjamins Publishing Company.",Final,,
,Mixedemotions: Social semantic emotion analysis for innovative multilingual big data analytics markets,-1,,-1,#excluded #notpeerreviewed,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084018220&partnerID=40&md5=82531f0de0132d37ea389517ab75d1f1,"Emotion analysis is central to tracking customer and user behaviour and satisfaction, which can be observed from user interaction in the form of explicit feedback through email, call centre interaction, social media comments, etc., as well as implicit acknowledgment of approval or rejection through facial expressions, speech or other non-verbal feedback. In Europe specifically, but increasingly also globally, an added factor here is that user feedback can be in multiple languages, in text as well as in speech and audio-visual content. This implies different cultural backgrounds and thus different ways to produce and perceive emotions in everyday interactions, beyond the fact of having specific rules for encoding and decoding emotions in each language. Making sense of accumulated user interaction from different (‘mixed’) data sources, modalities and languages is challenging and has not yet been explored in fullness in an industrial context. Commercial solutions exist but do not address the multilingual aspect in a robust and large-scale setting and do not scale up to huge data volumes that need to be processed, or the integration of emotion analysis observations across data sources and/or modalities on a meaningful level, i.e. keeping track of entities involved as well the connections between them (who said what? to whom? in the context of which event, product, service?) The MixedEmotions project will implement an integrated Big Linked Data platform for emotion analysis across heterogeneous data sources, languages and modalities, building on existing state-of-the-art tools, services and approaches that will enable the tracking of emotional aspects of user interaction and feedback on an entity level. The platform will provide an integrated solution for: Large-scale emotion analysis and fusion on heterogeneous, multilingual, text, speech, video and social media data streams, leveraging open access and proprietary data sources, exploiting also social context by leveraging social network graphs Semantic-level emotion information aggregation and integration through robust extraction of social semantic knowledge graphs for emotion analysis along multidimensional clusters The platform will be developed and evaluated in the context of three cross-domain pilot projects that are representative of a variety of data analytics markets: Social TV, Brand Reputation Management, Call Centre Operations. © 2015 European Association for Machine Translation. All rights reserved.",Final,,
Patton E.W.; McGuinness D.L.,Connecting science data using semantics and information extraction,-1,-1,-1,#excluded #outofscope no linguistic features,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939491390&partnerID=40&md5=0f783dcd1f20db9e4bfbc37c5886f4c0,"We are developing prototypes that explicate our vision of connecting personal medical data to scientific literature as well as to emerging grey literature (e.g., community forums) to help people find and understand information relevant to complex medical journeys. We focus on robust combinations of natural language processing along with linked data and knowledge representation to build knowledge graphs that help people make sense of current conditions and enable new manners of scientific hypothesis generation. We present our work in the context of a breast cancer use case. We discuss the benefits of biomedical linked data resources and describe some potential assistive technology for navigating rich, diverse medical content.",Final,,
Qiao F.; Zhu X.,Domain Intelligent QA user intention recognition based on keyword separation,-1,-1,-1,#excluded #outofscope no linguistic features,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099694451&doi=10.1109%2fICCST50977.2020.00049&partnerID=40&md5=808a2d0906815dff59e6d367e744b377,"In view of the disadvantages of current intelligent QA user intention recognition technology, which can't make good use of the detailed features in user questions, this paper proposes a layered method to identify user intention. This method first identifies the keywords in the user problem as the user's first level intention, then distinguishes the sentence pattern of the user problem according to the number of keywords, and determines whether to identify the second level intention according to the sentence pattern of the problem. Then, the key word features are fused to identify the user's problem type, and the result of problem type recognition is regarded as the second layer of user's intention. Finally, the user's two layers of intentions are integrated and regarded as the user's overall intentions, and retrieved in the Knowledge Graph. Experiments show that the F1 value of user problem type recognition is increased by 6% after keyword features are added. The method of keyword separation is used to identify the user's intention in question and answer, which separates the two layers of user's intention. For the problem sentence pattern that is not necessary to recognize the second layer of user's intention, the judgment of user's intention is no longer performed, which reduces the complexity of user's intention recognition, and opens up space for the case that keywords need to be processed. In addition, keyword features are added to the second layer of user intention recognition model, which makes better use of the detailed features in user question statements and improves the effect of user intention recognition.  © 2020 IEEE.",Final,,
Chiarcos C.,Get! Mimetypes! Right!,-1,1,-1,#related,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115075174&doi=10.4230%2fOASIcs.LDK.2021.5&partnerID=40&md5=07f2f8c24f0ace3cceefe7e36dbf53ad,"This paper identifies three technical requirements - availability of data, sustainable hosting and resolvable URIs for hosted data - as minimal pre-conditions for Linguistic Linked Open Data technology to develop towards a mature technological ecosystem that third party applications can build upon. While a critical amount of data is available (and it continues to grow), there does not seem to exist a hosting solution that combines the prospects of long-term availability with an unrestricted capability to support resolvable URIs. In particular, data hosting services do currently not allow data to be declared as RDF content by means of their media type (mime type), so that the capability of clients to recognize formats and to resolve URIs on that basis is severely limited. © Christian Chiarcos; licensed under Creative Commons License CC-BY 4.0",Final,,
Ramnath K.; Sari L.; Hasegawa-Johnson M.; Yoo C.,Worldly Wise (WoW) - Cross-Lingual Knowledge Fusion for Fact-based Visual Spoken-Question Answering,0,-1,-1,#excluded,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137712266&partnerID=40&md5=cef852d346571919b08d1629b1e076ba,"Although Question-Answering has long been of research interest, its accessibility to users through a speech interface and its support to multiple languages have not been addressed in prior studies. Towards these ends, we present a new task and a synthetically-generated dataset to do Fact-based Visual Spoken-Question Answering (FVSQA). FVSQA is based on the FVQA dataset, which requires a system to retrieve an entity from Knowledge Graphs (KGs) to answer a question about an image. In FVSQA, the question is spoken rather than typed. Three sub-tasks are proposed: (1) speech-to-text based, (2) end-to-end, without speech-to-text as an intermediate component, and (3) cross-lingual, in which the question is spoken in a language different from that in which the KG is recorded. The end-to-end and cross-lingual tasks are the first to require world knowledge from a multi-relational KG as a differentiable layer in an end-to-end spoken language understanding task, hence the proposed reference implementation is called Worldly-Wise (WoW). WoW is shown to perform end-to-end cross-lingual FVSQA at same levels of accuracy across 3 languages - English, Hindi, and Turkish. © 2021 Association for Computational Linguistics.",Final,,
Pan J.Z.; Edelstein E.; Bansky P.; Wyner A.,A knowledge graph based approach to social science surveys,0,-1,-1,#excluded #outofscope no linguistic features,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118212118&doi=10.1162%2fdint_a_00107&partnerID=40&md5=5cbe3b4320d6fbe1437bfd2b7caa966c,"Recent success of knowledge graphs has spurred interest in applying them in open science, such as on intelligent survey systems for scientists. However, efforts to understand the quality of candidate survey questions provided by these methods have been limited. Indeed, existing methods do not consider the type of on-the-fly content planning that is possible for face-to-face surveys and hence do not guarantee that selection of subsequent questions is based on response to previous questions in a survey. To address this limitation, we propose a dynamic and informative solution for an intelligent survey system that is based on knowledge graphs. To illustrate our proposal, we look into social science surveys, focusing on ordering the questions of a questionnaire component by their level of acceptance, along with conditional triggers that further customise participants’ experience. Our main findings are: (i) evaluation of the proposed approach shows that the dynamic component can be beneficial in terms of lowering the number of questions asked per variable, thus allowing more informative data to be collected in a survey of equivalent length; and (ii) a primary advantage of the proposed approach is that it enables grouping of participants according to their responses, so that participants are not only served appropriate follow-up questions, but their responses to these questions may be analysed in the context of some initial categorisation. We believe that the proposed approach can easily be applied to other social science surveys based on grouping definitions in their contexts. The knowledge-graph-based intelligent survey approach proposed in our work allows online questionnaires to approach face-to-face interaction in their level of informativity and responsiveness, as well as duplicating certain advantages of interview-based data collection. © 2021 Chinese Academy of Sciences.",Final,All Open Access; Gold Open Access; Green Open Access,
Augenstein I.; Gentile A.L.; Norton B.; Zhang Z.; Ciravegna F.,Mapping keywords to Linked Data resources for automatic query expansion,0,-1,-1,#excluded encyclopedic knowledge rather than linguistic,2013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922580693&partnerID=40&md5=8965215840be6c3d4d6bbd95e2170a49,"Linked Data is a gigantic, constantly growing and extremely valuable resource, but its usage is still heavily dependent on (i) the familiarity of end users with RDF's graph data model and its query language, SPARQL, and (ii) knowledge about available datasets and their contents. Intelligent keyword search over Linked Data is currently being investigated as a means to overcome these barriers to entry in a number of different approaches, including semantic search engines and the automatic conversion of natural language questions into structured queries. Our work addresses the specific challenge of mapping keywords to Linked Data resources, and proposes a novel method for this task. By exploiting the graph structure within Linked Data we determine which properties between resources are useful to discover, or directly express, semantic similarity. We also propose a novel scoring function to rank results. Experiments on a publicly available dataset show a 17% improvement in Mean Reciprocal Rank over the state of the art.",Final,,
Peng Y.; Alam M.; Bonald T.,Ontology Matching using Textual Class Descriptions,0,-1,-1,#excluded encyclopedic knowledge rather than linguistic,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180776271&partnerID=40&md5=5115bca4fda57f89bac2412fb02a8506,"In this paper, we propose TEXTO, a TEXT-based Ontology matching system. This matcher leverages the rich semantic information of classes available in most ontologies by a combination of a pre-trained word embedding model and a pre-trained language model. Its performance is evaluated on the datasets of the OAEI Common Knowledge Graphs Track, augmented with the description of each class, and a new dataset based on the refreshed alignment of Schema.org and Wikidata. Our results demonstrate that TEXTO outperforms all state-of-art matchers in terms of precision, recall and F1 score. In particular, we show that almost perfect class alignment can be achieved using textual content only, excluding any structural information like the graph of classes or the instances of each class. © 2023 Copyright for this paper by its authors.",Final,,
